Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
MS SQL 2008,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,55800,SVR_W2008_DB_013,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,55800,SVR_W2008_DB_014,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,72000,SVR_W2008_DB_015,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,162562,SVR_W2008_DB_016,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,162562,SVR_W2008_DB_017,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,178762,SVR_W2008_DB_018,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,55800,SVR_W2008_DB_019,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,55800,SVR_W2008_DB_020,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,80,72000,SVR_W2008_DB_021,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,162562,SVR_W2008_DB_022,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,162562,SVR_W2008_DB_023,"Windows 2008, SQL Server 2008 Server",server
MS SQL 2008,Windows 2008,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,80,178762,SVR_W2008_DB_024,"Windows 2008, SQL Server 2008 Server",server
